Site ID	Name	Principal Investigator	Data Use Policy	AmeriFlux BASE Data	AmeriFlux FLUXNET Data	Vegetation Abbreviation (IGBP)	Vegetation Description (IGBP)	Climate Class Abbreviation (Koeppen)	Climate Class Description (Koeppen)	Mean Average Precipitation (mm)	Mean Average Temperature (degrees C)	Country	Latitude (degrees)	Longitude (degrees)	Elevation (m)	Years of AmeriFlux BASE Data	AmeriFlux BASE DOI	Years of AmeriFlux FLUXNET Data	AmeriFlux FLUXNET DOI	Site Start	Site End	BASE variables available	FLUXNET variables available
"AR-Bal"	"Balcarce BA"	"Natalia Edith Tonti (ntonti@at.fcen.uba.ar)"	"Legacy"	"No"	"No"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Cfb"	"Marine West Coast: mild with no dry season, warm summer"	"926"	"14"	"Argentina"	"-37.7596"	"-58.3024"	"130"	""	"https://doi.org/"	""	"https://doi.org/"	"2012"	"2013"	""	""
"AR-CCa"	"Carlos Casares agriculture"	"Gabriela Posse (posse.gabriela@gmail.com)"	"CC-BY-4.0"	"Yes"	"No"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Cfa"	"Humid Subtropical: mild with no dry season, hot summer"	"1060"	"16.1"	"Argentina"	"-35.6210"	"-61.3181"	"83"	"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"	"https://doi.org/10.17190/AMF/1880910"	""	"https://doi.org/"	"2012"	""	"CO2, CO2_MIXING_RATIO, CO2_SIGMA, FC, FETCH_70, FETCH_80, FETCH_90, FETCH_MAX, H, H2O, H2O_MIXING_RATIO, H2O_SIGMA, LE, MO_LENGTH, PA, PPFD_IN, RH, TA, TAU, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, ZL"	""
"AR-CCg"	"Carlos Casares grassland"	"Gabriela Posse (posse.gabriela@gmail.com)"	"CC-BY-4.0"	"Yes"	"No"	"GRA"	"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water."	"Cfa"	"Humid Subtropical: mild with no dry season, hot summer"	"1060"	"16.1"	"Argentina"	"-35.9244"	"-61.1855"	"84"	"2018, 2019, 2020"	"https://doi.org/10.17190/AMF/1865474"	""	"https://doi.org/"	"2018"	""	"CO2, CO2_MIXING_RATIO, CO2_SIGMA, FC, FETCH_70, FETCH_80, FETCH_90, FETCH_MAX, H, H2O, H2O_MIXING_RATIO, H2O_SIGMA, LE, MO_LENGTH, PA, PPFD_IN, RH, TA, TAU, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, ZL"	""
"AR-Cel"	"CELPA Mar Chiquita BA"	"Paulina Martinetto (pmartin@mdp.edu.ar)"	"Legacy"	"Yes"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Cfb"	"Marine West Coast: mild with no dry season, warm summer"	"926"	"14"	"Argentina"	"-37.7028"	"-57.4192"	"1"	"2018"	"https://doi.org/10.17190/AMF/2204054"	""	"https://doi.org/"	"2018"	"2018"	"CO2, CO2_SIGMA, FC, FC_SSITC_TEST, G, H, H2O, H2O_SIGMA, H_SSITC_TEST, LE, LE_SSITC_TEST, MO_LENGTH, NEE, P, PA, PPFD_IN, RH, SC, SWC, SW_IN, TA, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, ZL"	""
"AR-Rom"	"Romano Mar Chiquita BA"	"Natalia Edith Tonti (ntonti@at.fcen.uba.ar)"	"Legacy"	"No"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Cfb"	"Marine West Coast: mild with no dry season, warm summer"	"926"	"14"	"Argentina"	"-37.5508"	"-57.2972"	"1"	""	"https://doi.org/"	""	"https://doi.org/"	"2014"	"2015"	""	""
"AR-TF1"	"Rio Moat bog"	"Veronica Pancotto (pancotto@cadic-conicet.gob.ar)"	"CC-BY-4.0"	"Yes"	"Yes"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	""	""	""	""	"Argentina"	"-54.9733"	"-66.7335"	"40"	"2016, 2017, 2018"	"https://doi.org/10.17190/AMF/1543389"	"2016, 2017, 2018"	"https://doi.org/10.17190/AMF/1818370"	"2016"	"2018"	"CO2, FC, FC_SSITC_TEST, H, H_SSITC_TEST, LE, LE_SSITC_TEST, PA, PPFD_IN, RH, SW_IN, TA, USTAR, WD, WS"	""
"AR-TF2"	"Rio Pipo bog"	"Veronica Pancotto (pancotto@cadic-conicet.gob.ar)"	"CC-BY-4.0"	"Yes"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	""	""	"530"	"5.5"	"Argentina"	"-54.8269"	"-68.4549"	"60"	"2016, 2017, 2018"	"https://doi.org/10.17190/AMF/1543388"	""	"https://doi.org/"	"2016"	"2018"	"FC, FC_SSITC_TEST, H, H_SSITC_TEST, LE, LE_SSITC_TEST, PPFD_IN, RH, SW_IN, TA, USTAR, WD, WS"	""
"BR-CMT"	"Capuaba farm Mato Grosso"	"Mark Johnson (mark.johnson@ubc.ca)"	"Legacy"	"No"	"No"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Aw"	"Tropical savanna"	"1566"	"26.8"	"Brazil"	"-13.2875"	"-56.0882"	"427"	""	"https://doi.org/"	""	"https://doi.org/"	"2015"	"2019"	""	""
"BR-CST"	"Caatinga Serra Talhada"	"Antonio Antonino (acdantonino@gmail.com)"	"CC-BY-4.0"	"Yes"	"Yes"	"DNF"	"Deciduous Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of seasonal needleleaf tree communities with an annual cycle of leaf-on and leaf-off periods."	"Bsh"	"Steppe: very cold winter"	"642"	"25.2"	"Brazil"	"-7.9682"	"-38.3842"	"468"	"2014, 2015"	"https://doi.org/10.17190/AMF/1562386"	"2014, 2015"	"https://doi.org/10.17190/AMF/1902820"	"2014"	""	"APAR, CO2, FC, FETCH_90, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, MO_LENGTH, NEE, NETRAD, P, PA, RH, SC, SH, SLE, SWC, SW_IN, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, USTAR, VPD, WD, WS, WS_MAX, ZL"	""
"BR-Cui"	"Micrometeorological studies project in Amazonian mangroves"	"Isabel Vitorino (vitorino@ufpa.br)"	"Legacy"	"No"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Am"	"Tropical monsoon"	"457.2"	"26.4"	"Brazil"	"-0.6661"	"-47.2833"	"21"	""	"https://doi.org/"	""	"https://doi.org/"	"2015"	""	""	""
