Site ID	Site Name	Link	Lat	Long Country
CA-DBB	Delta Burns Bog	https://ameriflux.lbl.gov/sites/siteinfo/CA-DBB	49.1293	-122.9849 Canada
CA-HPC	Havikpak Creek	https://ameriflux.lbl.gov/sites/siteinfo/CA-HPC	68.3203	-133.5188 Canada
CA-KLP	Kinoje Lake Peatland	https://ameriflux.lbl.gov/sites/siteinfo/CA-KLP	51.5902	-81.7684 Canada
CA-Mer	Ontario - Eastern Peatland, Mer Bleue	https://ameriflux.lbl.gov/sites/siteinfo/CA-Mer	45.4094	-75.5186 Canada
CA-RPn	Robinsons_Natural_Bog_NL	https://ameriflux.lbl.gov/sites/siteinfo/CA-RPn	48.2604	-58.6632 Canada
CA-RPp	Robinsons_Peatland_Pasture_NL	https://ameriflux.lbl.gov/sites/siteinfo/CA-RPp	48.2632	-58.6670 Canada
CA-SCB	Scotty Creek Bog	https://ameriflux.lbl.gov/sites/siteinfo/CA-SCB	61.3089	-121.2984 Canada
CA-SCC	Scotty Creek Landscape	https://ameriflux.lbl.gov/sites/siteinfo/CA-SCC	61.3079	-121.2992 Canada
CA-SMC	Smith Creek	https://ameriflux.lbl.gov/sites/siteinfo/CA-SMC	63.1534	-123.2522 Canada
CA-TVC	Trail Valley Creek	https://ameriflux.lbl.gov/sites/siteinfo/CA-TVC	68.7462	-133.5017 Canada
